Year,state,TotalCount,pop1000,epi_rate,division,region
1911,CALIFORNIA,2679,2534,105.72217837411209,Pacific,West
1911,COLORADO,1359,821,165.52984165651645,Mountain,West
1911,CONNECTICUT,504,1149,43.86422976501306,New England,Northeast
1911,FLORIDA,261,773,33.76455368693402,South Atlantic,South
1911,ILLINOIS,6977,5757,121.19159284349487,East North Central,North Central
1911,INDIANA,1153,2751,41.912031988367865,East North Central,North Central
1911,IOWA,11,2249,0.4891062694530902,West North Central,North Central
1911,KANSAS,353,1684,20.961995249406176,West North Central,North Central
1911,KENTUCKY,289,2324,12.435456110154904,East South Central,South
1911,LOUISIANA,2298,1695,135.57522123893807,West South Central,South
1911,MAINE,34,751,4.527296937416778,New England,Northeast
1911,MARYLAND,6,1324,0.4531722054380665,South Atlantic,South
1911,MASSACHUSETTS,9761,3383,288.5308897428318,New England,Northeast
1911,MICHIGAN,2526,2916,86.62551440329219,East North Central,North Central
1911,MISSOURI,145,3317,4.3714199577931865,West North Central,North Central
1911,MONTANA,10,397,2.518891687657431,Mountain,West
1911,NEBRASKA,71,1216,5.838815789473684,West North Central,North Central
1911,NEW HAMPSHIRE,490,432,113.42592592592592,New England,Northeast
1911,NEW JERSEY,1795,2610,68.77394636015326,Middle Atlantic,Northeast
1911,NEW YORK,2815,9249,30.435722780841175,Middle Atlantic,Northeast
1911,NORTH CAROLINA,8,2276,0.35149384885764495,South Atlantic,South
1911,OHIO,3034,4821,62.93300145198092,East North Central,North Central
1911,OKLAHOMA,143,1714,8.343057176196032,West South Central,South
1911,PENNSYLVANIA,15198,7850,193.60509554140128,Middle Atlantic,Northeast
1911,TENNESSEE,1224,2197,55.71233500227583,East South Central,South
1911,TEXAS,96,4016,2.3904382470119523,West South Central,South
1911,UTAH,548,387,141.60206718346254,Mountain,West
1911,VERMONT,45,358,12.569832402234638,New England,Northeast
1911,VIRGINIA,808,2092,38.623326959847034,South Atlantic,South
1911,WASHINGTON,2602,1167,222.9648671808055,Pacific,West
1911,WEST VIRGINIA,398,1266,31.437598736176938,South Atlantic,South
1911,WISCONSIN,943,2369,39.80582524271845,East North Central,North Central
1912,ALABAMA,109,2217,4.916553901668922,East South Central,South
1912,ARKANSAS,3,1636,0.18337408312958436,West South Central,South
1912,CALIFORNIA,3772,2668,141.3793103448276,Pacific,West
1912,COLORADO,47,832,5.649038461538462,Mountain,West
1912,CONNECTICUT,636,1176,54.08163265306123,New England,Northeast
1912,FLORIDA,37,801,4.619225967540574,South Atlantic,South
1912,ILLINOIS,6862,5828,117.74193548387098,East North Central,North Central
1912,INDIANA,256,2785,9.192100538599641,East North Central,North Central
1912,IOWA,1,2279,0.04387889425186486,West North Central,North Central
1912,KANSAS,46,1671,2.7528426092160383,West North Central,North Central
1912,KENTUCKY,129,2347,5.496378355347252,East South Central,South
1912,LOUISIANA,327,1709,19.133996489174958,West South Central,South
1912,MAINE,4,753,0.5312084993359893,New England,Northeast
1912,MARYLAND,476,1345,35.39033457249071,South Atlantic,South
1912,MASSACHUSETTS,15375,3440,446.9476744186046,New England,Northeast
1912,MICHIGAN,378,2997,12.612612612612612,East North Central,North Central
1912,MISSOURI,113,3344,3.3791866028708135,West North Central,North Central
1912,MONTANA,5,414,1.2077294685990339,Mountain,West
1912,NEBRASKA,33,1232,2.6785714285714284,West North Central,North Central
1912,NEW HAMPSHIRE,563,434,129.72350230414747,New England,Northeast
